char,font_face,font_size,font_version,width
 ,Courier,9,,9
!,Courier,9,,9
"""",Courier,9,,9
#,Courier,9,,9
$,Courier,9,,9
%,Courier,9,,9
&,Courier,9,,9
',Courier,9,,9
(,Courier,9,,9
),Courier,9,,9
*,Courier,9,,9
+,Courier,9,,9
",",Courier,9,,9
-,Courier,9,,9
.,Courier,9,,9
/,Courier,9,,9
0,Courier,9,,9
1,Courier,9,,9
2,Courier,9,,9
3,Courier,9,,9
4,Courier,9,,9
5,Courier,9,,9
6,Courier,9,,9
7,Courier,9,,9
8,Courier,9,,9
9,Courier,9,,9
:,Courier,9,,9
;,Courier,9,,9
<,Courier,9,,9
=,Courier,9,,9
>,Courier,9,,9
?,Courier,9,,9
@,Courier,9,,9
A,Courier,9,,9
B,Courier,9,,9
C,Courier,9,,9
D,Courier,9,,9
E,Courier,9,,9
F,Courier,9,,9
G,Courier,9,,9
H,Courier,9,,9
I,Courier,9,,9
J,Courier,9,,9
K,Courier,9,,9
L,Courier,9,,9
M,Courier,9,,9
N,Courier,9,,9
O,Courier,9,,9
P,Courier,9,,9
Q,Courier,9,,9
R,Courier,9,,9
S,Courier,9,,9
T,Courier,9,,9
U,Courier,9,,9
V,Courier,9,,9
W,Courier,9,,9
X,Courier,9,,9
Y,Courier,9,,9
Z,Courier,9,,9
[,Courier,9,,9
\,Courier,9,,9
],Courier,9,,9
^,Courier,9,,9
_,Courier,9,,9
`,Courier,9,,9
a,Courier,9,,9
b,Courier,9,,9
c,Courier,9,,9
d,Courier,9,,9
e,Courier,9,,9
f,Courier,9,,9
g,Courier,9,,9
h,Courier,9,,9
i,Courier,9,,9
j,Courier,9,,9
k,Courier,9,,9
l,Courier,9,,9
m,Courier,9,,9
n,Courier,9,,9
o,Courier,9,,9
p,Courier,9,,9
q,Courier,9,,9
r,Courier,9,,9
s,Courier,9,,9
t,Courier,9,,9
u,Courier,9,,9
v,Courier,9,,9
w,Courier,9,,9
x,Courier,9,,9
y,Courier,9,,9
z,Courier,9,,9
{,Courier,9,,9
|,Courier,9,,9
},Courier,9,,9
~,Courier,9,,9
 ,Courier,9,b,10
!,Courier,9,b,10
"""",Courier,9,b,10
#,Courier,9,b,10
$,Courier,9,b,10
%,Courier,9,b,10
&,Courier,9,b,10
',Courier,9,b,10
(,Courier,9,b,10
),Courier,9,b,10
*,Courier,9,b,10
+,Courier,9,b,10
",",Courier,9,b,10
-,Courier,9,b,10
.,Courier,9,b,10
/,Courier,9,b,10
0,Courier,9,b,10
1,Courier,9,b,10
2,Courier,9,b,10
3,Courier,9,b,10
4,Courier,9,b,10
5,Courier,9,b,10
6,Courier,9,b,10
7,Courier,9,b,10
8,Courier,9,b,10
9,Courier,9,b,10
:,Courier,9,b,10
;,Courier,9,b,10
<,Courier,9,b,10
=,Courier,9,b,10
>,Courier,9,b,10
?,Courier,9,b,10
@,Courier,9,b,10
A,Courier,9,b,10
B,Courier,9,b,10
C,Courier,9,b,10
D,Courier,9,b,10
E,Courier,9,b,10
F,Courier,9,b,10
G,Courier,9,b,10
H,Courier,9,b,10
I,Courier,9,b,10
J,Courier,9,b,10
K,Courier,9,b,10
L,Courier,9,b,10
M,Courier,9,b,10
N,Courier,9,b,10
O,Courier,9,b,10
P,Courier,9,b,10
Q,Courier,9,b,10
R,Courier,9,b,10
S,Courier,9,b,10
T,Courier,9,b,10
U,Courier,9,b,10
V,Courier,9,b,10
W,Courier,9,b,10
X,Courier,9,b,10
Y,Courier,9,b,10
Z,Courier,9,b,10
[,Courier,9,b,10
\,Courier,9,b,10
],Courier,9,b,10
^,Courier,9,b,10
_,Courier,9,b,10
`,Courier,9,b,10
a,Courier,9,b,10
b,Courier,9,b,10
c,Courier,9,b,10
d,Courier,9,b,10
e,Courier,9,b,10
f,Courier,9,b,10
g,Courier,9,b,10
h,Courier,9,b,10
i,Courier,9,b,10
j,Courier,9,b,10
k,Courier,9,b,10
l,Courier,9,b,10
m,Courier,9,b,10
n,Courier,9,b,10
o,Courier,9,b,10
p,Courier,9,b,10
q,Courier,9,b,10
r,Courier,9,b,10
s,Courier,9,b,10
t,Courier,9,b,10
u,Courier,9,b,10
v,Courier,9,b,10
w,Courier,9,b,10
x,Courier,9,b,10
y,Courier,9,b,10
z,Courier,9,b,10
{,Courier,9,b,10
|,Courier,9,b,10
},Courier,9,b,10
~,Courier,9,b,10
 ,Courier,9,i,9
!,Courier,9,i,9
"""",Courier,9,i,9
#,Courier,9,i,9
$,Courier,9,i,9
%,Courier,9,i,9
&,Courier,9,i,9
',Courier,9,i,9
(,Courier,9,i,9
),Courier,9,i,9
*,Courier,9,i,9
+,Courier,9,i,9
",",Courier,9,i,9
-,Courier,9,i,9
.,Courier,9,i,9
/,Courier,9,i,9
0,Courier,9,i,9
1,Courier,9,i,9
2,Courier,9,i,9
3,Courier,9,i,9
4,Courier,9,i,9
5,Courier,9,i,9
6,Courier,9,i,9
7,Courier,9,i,9
8,Courier,9,i,9
9,Courier,9,i,9
:,Courier,9,i,9
;,Courier,9,i,9
<,Courier,9,i,9
=,Courier,9,i,9
>,Courier,9,i,9
?,Courier,9,i,9
@,Courier,9,i,9
A,Courier,9,i,9
B,Courier,9,i,9
C,Courier,9,i,9
D,Courier,9,i,9
E,Courier,9,i,9
F,Courier,9,i,9
G,Courier,9,i,9
H,Courier,9,i,9
I,Courier,9,i,9
J,Courier,9,i,9
K,Courier,9,i,9
L,Courier,9,i,9
M,Courier,9,i,9
N,Courier,9,i,9
O,Courier,9,i,9
P,Courier,9,i,9
Q,Courier,9,i,9
R,Courier,9,i,9
S,Courier,9,i,9
T,Courier,9,i,9
U,Courier,9,i,9
V,Courier,9,i,9
W,Courier,9,i,9
X,Courier,9,i,9
Y,Courier,9,i,9
Z,Courier,9,i,9
[,Courier,9,i,9
\,Courier,9,i,9
],Courier,9,i,9
^,Courier,9,i,9
_,Courier,9,i,9
`,Courier,9,i,9
a,Courier,9,i,9
b,Courier,9,i,9
c,Courier,9,i,9
d,Courier,9,i,9
e,Courier,9,i,9
f,Courier,9,i,9
g,Courier,9,i,9
h,Courier,9,i,9
i,Courier,9,i,9
j,Courier,9,i,9
k,Courier,9,i,9
l,Courier,9,i,9
m,Courier,9,i,9
n,Courier,9,i,9
o,Courier,9,i,9
p,Courier,9,i,9
q,Courier,9,i,9
r,Courier,9,i,9
s,Courier,9,i,9
t,Courier,9,i,9
u,Courier,9,i,9
v,Courier,9,i,9
w,Courier,9,i,9
x,Courier,9,i,9
y,Courier,9,i,9
z,Courier,9,i,9
{,Courier,9,i,9
|,Courier,9,i,9
},Courier,9,i,9
~,Courier,9,i,9
 ,Courier,9,bi,10
!,Courier,9,bi,10
"""",Courier,9,bi,10
#,Courier,9,bi,10
$,Courier,9,bi,10
%,Courier,9,bi,10
&,Courier,9,bi,10
',Courier,9,bi,10
(,Courier,9,bi,10
),Courier,9,bi,10
*,Courier,9,bi,10
+,Courier,9,bi,10
",",Courier,9,bi,10
-,Courier,9,bi,10
.,Courier,9,bi,10
/,Courier,9,bi,10
0,Courier,9,bi,10
1,Courier,9,bi,10
2,Courier,9,bi,10
3,Courier,9,bi,10
4,Courier,9,bi,10
5,Courier,9,bi,10
6,Courier,9,bi,10
7,Courier,9,bi,10
8,Courier,9,bi,10
9,Courier,9,bi,10
:,Courier,9,bi,10
;,Courier,9,bi,10
<,Courier,9,bi,10
=,Courier,9,bi,10
>,Courier,9,bi,10
?,Courier,9,bi,10
@,Courier,9,bi,10
A,Courier,9,bi,10
B,Courier,9,bi,10
C,Courier,9,bi,10
D,Courier,9,bi,10
E,Courier,9,bi,10
F,Courier,9,bi,10
G,Courier,9,bi,10
H,Courier,9,bi,10
I,Courier,9,bi,10
J,Courier,9,bi,10
K,Courier,9,bi,10
L,Courier,9,bi,10
M,Courier,9,bi,10
N,Courier,9,bi,10
O,Courier,9,bi,10
P,Courier,9,bi,10
Q,Courier,9,bi,10
R,Courier,9,bi,10
S,Courier,9,bi,10
T,Courier,9,bi,10
U,Courier,9,bi,10
V,Courier,9,bi,10
W,Courier,9,bi,10
X,Courier,9,bi,10
Y,Courier,9,bi,10
Z,Courier,9,bi,10
[,Courier,9,bi,10
\,Courier,9,bi,10
],Courier,9,bi,10
^,Courier,9,bi,10
_,Courier,9,bi,10
`,Courier,9,bi,10
a,Courier,9,bi,10
b,Courier,9,bi,10
c,Courier,9,bi,10
d,Courier,9,bi,10
e,Courier,9,bi,10
f,Courier,9,bi,10
g,Courier,9,bi,10
h,Courier,9,bi,10
i,Courier,9,bi,10
j,Courier,9,bi,10
k,Courier,9,bi,10
l,Courier,9,bi,10
m,Courier,9,bi,10
n,Courier,9,bi,10
o,Courier,9,bi,10
p,Courier,9,bi,10
q,Courier,9,bi,10
r,Courier,9,bi,10
s,Courier,9,bi,10
t,Courier,9,bi,10
u,Courier,9,bi,10
v,Courier,9,bi,10
w,Courier,9,bi,10
x,Courier,9,bi,10
y,Courier,9,bi,10
z,Courier,9,bi,10
{,Courier,9,bi,10
|,Courier,9,bi,10
},Courier,9,bi,10
~,Courier,9,bi,10
 ,Courier,11,,12
!,Courier,11,,12
"""",Courier,11,,12
#,Courier,11,,12
$,Courier,11,,12
%,Courier,11,,12
&,Courier,11,,12
',Courier,11,,12
(,Courier,11,,12
),Courier,11,,12
*,Courier,11,,12
+,Courier,11,,12
",",Courier,11,,12
-,Courier,11,,12
.,Courier,11,,12
/,Courier,11,,12
0,Courier,11,,12
1,Courier,11,,12
2,Courier,11,,12
3,Courier,11,,12
4,Courier,11,,12
5,Courier,11,,12
6,Courier,11,,12
7,Courier,11,,12
8,Courier,11,,12
9,Courier,11,,12
:,Courier,11,,12
;,Courier,11,,12
<,Courier,11,,12
=,Courier,11,,12
>,Courier,11,,12
?,Courier,11,,12
@,Courier,11,,12
A,Courier,11,,12
B,Courier,11,,12
C,Courier,11,,12
D,Courier,11,,12
E,Courier,11,,12
F,Courier,11,,12
G,Courier,11,,12
H,Courier,11,,12
I,Courier,11,,12
J,Courier,11,,12
K,Courier,11,,12
L,Courier,11,,12
M,Courier,11,,12
N,Courier,11,,12
O,Courier,11,,12
P,Courier,11,,12
Q,Courier,11,,12
R,Courier,11,,12
S,Courier,11,,12
T,Courier,11,,12
U,Courier,11,,12
V,Courier,11,,12
W,Courier,11,,12
X,Courier,11,,12
Y,Courier,11,,12
Z,Courier,11,,12
[,Courier,11,,12
\,Courier,11,,12
],Courier,11,,12
^,Courier,11,,12
_,Courier,11,,12
`,Courier,11,,12
a,Courier,11,,12
b,Courier,11,,12
c,Courier,11,,12
d,Courier,11,,12
e,Courier,11,,12
f,Courier,11,,12
g,Courier,11,,12
h,Courier,11,,12
i,Courier,11,,12
j,Courier,11,,12
k,Courier,11,,12
l,Courier,11,,12
m,Courier,11,,12
n,Courier,11,,12
o,Courier,11,,12
p,Courier,11,,12
q,Courier,11,,12
r,Courier,11,,12
s,Courier,11,,12
t,Courier,11,,12
u,Courier,11,,12
v,Courier,11,,12
w,Courier,11,,12
x,Courier,11,,12
y,Courier,11,,12
z,Courier,11,,12
{,Courier,11,,12
|,Courier,11,,12
},Courier,11,,12
~,Courier,11,,12
 ,Courier,11,b,13
!,Courier,11,b,13
"""",Courier,11,b,13
#,Courier,11,b,13
$,Courier,11,b,13
%,Courier,11,b,13
&,Courier,11,b,13
',Courier,11,b,13
(,Courier,11,b,13
),Courier,11,b,13
*,Courier,11,b,13
+,Courier,11,b,13
",",Courier,11,b,13
-,Courier,11,b,13
.,Courier,11,b,13
/,Courier,11,b,13
0,Courier,11,b,13
1,Courier,11,b,13
2,Courier,11,b,13
3,Courier,11,b,13
4,Courier,11,b,13
5,Courier,11,b,13
6,Courier,11,b,13
7,Courier,11,b,13
8,Courier,11,b,13
9,Courier,11,b,13
:,Courier,11,b,13
;,Courier,11,b,13
<,Courier,11,b,13
=,Courier,11,b,13
>,Courier,11,b,13
?,Courier,11,b,13
@,Courier,11,b,13
A,Courier,11,b,13
B,Courier,11,b,13
C,Courier,11,b,13
D,Courier,11,b,13
E,Courier,11,b,13
F,Courier,11,b,13
G,Courier,11,b,13
H,Courier,11,b,13
I,Courier,11,b,13
J,Courier,11,b,13
K,Courier,11,b,13
L,Courier,11,b,13
M,Courier,11,b,13
N,Courier,11,b,13
O,Courier,11,b,13
P,Courier,11,b,13
Q,Courier,11,b,13
R,Courier,11,b,13
S,Courier,11,b,13
T,Courier,11,b,13
U,Courier,11,b,13
V,Courier,11,b,13
W,Courier,11,b,13
X,Courier,11,b,13
Y,Courier,11,b,13
Z,Courier,11,b,13
[,Courier,11,b,13
\,Courier,11,b,13
],Courier,11,b,13
^,Courier,11,b,13
_,Courier,11,b,13
`,Courier,11,b,13
a,Courier,11,b,13
b,Courier,11,b,13
c,Courier,11,b,13
d,Courier,11,b,13
e,Courier,11,b,13
f,Courier,11,b,13
g,Courier,11,b,13
h,Courier,11,b,13
i,Courier,11,b,13
j,Courier,11,b,13
k,Courier,11,b,13
l,Courier,11,b,13
m,Courier,11,b,13
n,Courier,11,b,13
o,Courier,11,b,13
p,Courier,11,b,13
q,Courier,11,b,13
r,Courier,11,b,13
s,Courier,11,b,13
t,Courier,11,b,13
u,Courier,11,b,13
v,Courier,11,b,13
w,Courier,11,b,13
x,Courier,11,b,13
y,Courier,11,b,13
z,Courier,11,b,13
{,Courier,11,b,13
|,Courier,11,b,13
},Courier,11,b,13
~,Courier,11,b,13
 ,Courier,11,i,12
!,Courier,11,i,12
"""",Courier,11,i,12
#,Courier,11,i,12
$,Courier,11,i,12
%,Courier,11,i,12
&,Courier,11,i,12
',Courier,11,i,12
(,Courier,11,i,12
),Courier,11,i,12
*,Courier,11,i,12
+,Courier,11,i,12
",",Courier,11,i,12
-,Courier,11,i,12
.,Courier,11,i,12
/,Courier,11,i,12
0,Courier,11,i,12
1,Courier,11,i,12
2,Courier,11,i,12
3,Courier,11,i,12
4,Courier,11,i,12
5,Courier,11,i,12
6,Courier,11,i,12
7,Courier,11,i,12
8,Courier,11,i,12
9,Courier,11,i,12
:,Courier,11,i,12
;,Courier,11,i,12
<,Courier,11,i,12
=,Courier,11,i,12
>,Courier,11,i,12
?,Courier,11,i,12
@,Courier,11,i,12
A,Courier,11,i,12
B,Courier,11,i,12
C,Courier,11,i,12
D,Courier,11,i,12
E,Courier,11,i,12
F,Courier,11,i,12
G,Courier,11,i,12
H,Courier,11,i,12
I,Courier,11,i,12
J,Courier,11,i,12
K,Courier,11,i,12
L,Courier,11,i,12
M,Courier,11,i,12
N,Courier,11,i,12
O,Courier,11,i,12
P,Courier,11,i,12
Q,Courier,11,i,12
R,Courier,11,i,12
S,Courier,11,i,12
T,Courier,11,i,12
U,Courier,11,i,12
V,Courier,11,i,12
W,Courier,11,i,12
X,Courier,11,i,12
Y,Courier,11,i,12
Z,Courier,11,i,12
[,Courier,11,i,12
\,Courier,11,i,12
],Courier,11,i,12
^,Courier,11,i,12
_,Courier,11,i,12
`,Courier,11,i,12
a,Courier,11,i,12
b,Courier,11,i,12
c,Courier,11,i,12
d,Courier,11,i,12
e,Courier,11,i,12
f,Courier,11,i,12
g,Courier,11,i,12
h,Courier,11,i,12
i,Courier,11,i,12
j,Courier,11,i,12
k,Courier,11,i,12
l,Courier,11,i,12
m,Courier,11,i,12
n,Courier,11,i,12
o,Courier,11,i,12
p,Courier,11,i,12
q,Courier,11,i,12
r,Courier,11,i,12
s,Courier,11,i,12
t,Courier,11,i,12
u,Courier,11,i,12
v,Courier,11,i,12
w,Courier,11,i,12
x,Courier,11,i,12
y,Courier,11,i,12
z,Courier,11,i,12
{,Courier,11,i,12
|,Courier,11,i,12
},Courier,11,i,12
~,Courier,11,i,12
 ,Courier,11,bi,13
!,Courier,11,bi,13
"""",Courier,11,bi,13
#,Courier,11,bi,13
$,Courier,11,bi,13
%,Courier,11,bi,13
&,Courier,11,bi,13
',Courier,11,bi,13
(,Courier,11,bi,13
),Courier,11,bi,13
*,Courier,11,bi,13
+,Courier,11,bi,13
",",Courier,11,bi,13
-,Courier,11,bi,13
.,Courier,11,bi,13
/,Courier,11,bi,13
0,Courier,11,bi,13
1,Courier,11,bi,13
2,Courier,11,bi,13
3,Courier,11,bi,13
4,Courier,11,bi,13
5,Courier,11,bi,13
6,Courier,11,bi,13
7,Courier,11,bi,13
8,Courier,11,bi,13
9,Courier,11,bi,13
:,Courier,11,bi,13
;,Courier,11,bi,13
<,Courier,11,bi,13
=,Courier,11,bi,13
>,Courier,11,bi,13
?,Courier,11,bi,13
@,Courier,11,bi,13
A,Courier,11,bi,13
B,Courier,11,bi,13
C,Courier,11,bi,13
D,Courier,11,bi,13
E,Courier,11,bi,13
F,Courier,11,bi,13
G,Courier,11,bi,13
H,Courier,11,bi,13
I,Courier,11,bi,13
J,Courier,11,bi,13
K,Courier,11,bi,13
L,Courier,11,bi,13
M,Courier,11,bi,13
N,Courier,11,bi,13
O,Courier,11,bi,13
P,Courier,11,bi,13
Q,Courier,11,bi,13
R,Courier,11,bi,13
S,Courier,11,bi,13
T,Courier,11,bi,13
U,Courier,11,bi,13
V,Courier,11,bi,13
W,Courier,11,bi,13
X,Courier,11,bi,13
Y,Courier,11,bi,13
Z,Courier,11,bi,13
[,Courier,11,bi,13
\,Courier,11,bi,13
],Courier,11,bi,13
^,Courier,11,bi,13
_,Courier,11,bi,13
`,Courier,11,bi,13
a,Courier,11,bi,13
b,Courier,11,bi,13
c,Courier,11,bi,13
d,Courier,11,bi,13
e,Courier,11,bi,13
f,Courier,11,bi,13
g,Courier,11,bi,13
h,Courier,11,bi,13
i,Courier,11,bi,13
j,Courier,11,bi,13
k,Courier,11,bi,13
l,Courier,11,bi,13
m,Courier,11,bi,13
n,Courier,11,bi,13
o,Courier,11,bi,13
p,Courier,11,bi,13
q,Courier,11,bi,13
r,Courier,11,bi,13
s,Courier,11,bi,13
t,Courier,11,bi,13
u,Courier,11,bi,13
v,Courier,11,bi,13
w,Courier,11,bi,13
x,Courier,11,bi,13
y,Courier,11,bi,13
z,Courier,11,bi,13
{,Courier,11,bi,13
|,Courier,11,bi,13
},Courier,11,bi,13
~,Courier,11,bi,13
 ,Courier,12,,12
!,Courier,12,,12
"""",Courier,12,,12
#,Courier,12,,12
$,Courier,12,,12
%,Courier,12,,12
&,Courier,12,,12
',Courier,12,,12
(,Courier,12,,12
),Courier,12,,12
*,Courier,12,,12
+,Courier,12,,12
",",Courier,12,,12
-,Courier,12,,12
.,Courier,12,,12
/,Courier,12,,12
0,Courier,12,,12
1,Courier,12,,12
2,Courier,12,,12
3,Courier,12,,12
4,Courier,12,,12
5,Courier,12,,12
6,Courier,12,,12
7,Courier,12,,12
8,Courier,12,,12
9,Courier,12,,12
:,Courier,12,,12
;,Courier,12,,12
<,Courier,12,,12
=,Courier,12,,12
>,Courier,12,,12
?,Courier,12,,12
@,Courier,12,,12
A,Courier,12,,12
B,Courier,12,,12
C,Courier,12,,12
D,Courier,12,,12
E,Courier,12,,12
F,Courier,12,,12
G,Courier,12,,12
H,Courier,12,,12
I,Courier,12,,12
J,Courier,12,,12
K,Courier,12,,12
L,Courier,12,,12
M,Courier,12,,12
N,Courier,12,,12
O,Courier,12,,12
P,Courier,12,,12
Q,Courier,12,,12
R,Courier,12,,12
S,Courier,12,,12
T,Courier,12,,12
U,Courier,12,,12
V,Courier,12,,12
W,Courier,12,,12
X,Courier,12,,12
Y,Courier,12,,12
Z,Courier,12,,12
[,Courier,12,,12
\,Courier,12,,12
],Courier,12,,12
^,Courier,12,,12
_,Courier,12,,12
`,Courier,12,,12
a,Courier,12,,12
b,Courier,12,,12
c,Courier,12,,12
d,Courier,12,,12
e,Courier,12,,12
f,Courier,12,,12
g,Courier,12,,12
h,Courier,12,,12
i,Courier,12,,12
j,Courier,12,,12
k,Courier,12,,12
l,Courier,12,,12
m,Courier,12,,12
n,Courier,12,,12
o,Courier,12,,12
p,Courier,12,,12
q,Courier,12,,12
r,Courier,12,,12
s,Courier,12,,12
t,Courier,12,,12
u,Courier,12,,12
v,Courier,12,,12
w,Courier,12,,12
x,Courier,12,,12
y,Courier,12,,12
z,Courier,12,,12
{,Courier,12,,12
|,Courier,12,,12
},Courier,12,,12
~,Courier,12,,12
 ,Courier,12,b,13
!,Courier,12,b,13
"""",Courier,12,b,13
#,Courier,12,b,13
$,Courier,12,b,13
%,Courier,12,b,13
&,Courier,12,b,13
',Courier,12,b,13
(,Courier,12,b,13
),Courier,12,b,13
*,Courier,12,b,13
+,Courier,12,b,13
",",Courier,12,b,13
-,Courier,12,b,13
.,Courier,12,b,13
/,Courier,12,b,13
0,Courier,12,b,13
1,Courier,12,b,13
2,Courier,12,b,13
3,Courier,12,b,13
4,Courier,12,b,13
5,Courier,12,b,13
6,Courier,12,b,13
7,Courier,12,b,13
8,Courier,12,b,13
9,Courier,12,b,13
:,Courier,12,b,13
;,Courier,12,b,13
<,Courier,12,b,13
=,Courier,12,b,13
>,Courier,12,b,13
?,Courier,12,b,13
@,Courier,12,b,13
A,Courier,12,b,13
B,Courier,12,b,13
C,Courier,12,b,13
D,Courier,12,b,13
E,Courier,12,b,13
F,Courier,12,b,13
G,Courier,12,b,13
H,Courier,12,b,13
I,Courier,12,b,13
J,Courier,12,b,13
K,Courier,12,b,13
L,Courier,12,b,13
M,Courier,12,b,13
N,Courier,12,b,13
O,Courier,12,b,13
P,Courier,12,b,13
Q,Courier,12,b,13
R,Courier,12,b,13
S,Courier,12,b,13
T,Courier,12,b,13
U,Courier,12,b,13
V,Courier,12,b,13
W,Courier,12,b,13
X,Courier,12,b,13
Y,Courier,12,b,13
Z,Courier,12,b,13
[,Courier,12,b,13
\,Courier,12,b,13
],Courier,12,b,13
^,Courier,12,b,13
_,Courier,12,b,13
`,Courier,12,b,13
a,Courier,12,b,13
b,Courier,12,b,13
c,Courier,12,b,13
d,Courier,12,b,13
e,Courier,12,b,13
f,Courier,12,b,13
g,Courier,12,b,13
h,Courier,12,b,13
i,Courier,12,b,13
j,Courier,12,b,13
k,Courier,12,b,13
l,Courier,12,b,13
m,Courier,12,b,13
n,Courier,12,b,13
o,Courier,12,b,13
p,Courier,12,b,13
q,Courier,12,b,13
r,Courier,12,b,13
s,Courier,12,b,13
t,Courier,12,b,13
u,Courier,12,b,13
v,Courier,12,b,13
w,Courier,12,b,13
x,Courier,12,b,13
y,Courier,12,b,13
z,Courier,12,b,13
{,Courier,12,b,13
|,Courier,12,b,13
},Courier,12,b,13
~,Courier,12,b,13
 ,Courier,12,i,12
!,Courier,12,i,12
"""",Courier,12,i,12
#,Courier,12,i,12
$,Courier,12,i,12
%,Courier,12,i,12
&,Courier,12,i,12
',Courier,12,i,12
(,Courier,12,i,12
),Courier,12,i,12
*,Courier,12,i,12
+,Courier,12,i,12
",",Courier,12,i,12
-,Courier,12,i,12
.,Courier,12,i,12
/,Courier,12,i,12
0,Courier,12,i,12
1,Courier,12,i,12
2,Courier,12,i,12
3,Courier,12,i,12
4,Courier,12,i,12
5,Courier,12,i,12
6,Courier,12,i,12
7,Courier,12,i,12
8,Courier,12,i,12
9,Courier,12,i,12
:,Courier,12,i,12
;,Courier,12,i,12
<,Courier,12,i,12
=,Courier,12,i,12
>,Courier,12,i,12
?,Courier,12,i,12
@,Courier,12,i,12
A,Courier,12,i,12
B,Courier,12,i,12
C,Courier,12,i,12
D,Courier,12,i,12
E,Courier,12,i,12
F,Courier,12,i,12
G,Courier,12,i,12
H,Courier,12,i,12
I,Courier,12,i,12
J,Courier,12,i,12
K,Courier,12,i,12
L,Courier,12,i,12
M,Courier,12,i,12
N,Courier,12,i,12
O,Courier,12,i,12
P,Courier,12,i,12
Q,Courier,12,i,12
R,Courier,12,i,12
S,Courier,12,i,12
T,Courier,12,i,12
U,Courier,12,i,12
V,Courier,12,i,12
W,Courier,12,i,12
X,Courier,12,i,12
Y,Courier,12,i,12
Z,Courier,12,i,12
[,Courier,12,i,12
\,Courier,12,i,12
],Courier,12,i,12
^,Courier,12,i,12
_,Courier,12,i,12
`,Courier,12,i,12
a,Courier,12,i,12
b,Courier,12,i,12
c,Courier,12,i,12
d,Courier,12,i,12
e,Courier,12,i,12
f,Courier,12,i,12
g,Courier,12,i,12
h,Courier,12,i,12
i,Courier,12,i,12
j,Courier,12,i,12
k,Courier,12,i,12
l,Courier,12,i,12
m,Courier,12,i,12
n,Courier,12,i,12
o,Courier,12,i,12
p,Courier,12,i,12
q,Courier,12,i,12
r,Courier,12,i,12
s,Courier,12,i,12
t,Courier,12,i,12
u,Courier,12,i,12
v,Courier,12,i,12
w,Courier,12,i,12
x,Courier,12,i,12
y,Courier,12,i,12
z,Courier,12,i,12
{,Courier,12,i,12
|,Courier,12,i,12
},Courier,12,i,12
~,Courier,12,i,12
 ,Courier,12,bi,13
!,Courier,12,bi,13
"""",Courier,12,bi,13
#,Courier,12,bi,13
$,Courier,12,bi,13
%,Courier,12,bi,13
&,Courier,12,bi,13
',Courier,12,bi,13
(,Courier,12,bi,13
),Courier,12,bi,13
*,Courier,12,bi,13
+,Courier,12,bi,13
",",Courier,12,bi,13
-,Courier,12,bi,13
.,Courier,12,bi,13
/,Courier,12,bi,13
0,Courier,12,bi,13
1,Courier,12,bi,13
2,Courier,12,bi,13
3,Courier,12,bi,13
4,Courier,12,bi,13
5,Courier,12,bi,13
6,Courier,12,bi,13
7,Courier,12,bi,13
8,Courier,12,bi,13
9,Courier,12,bi,13
:,Courier,12,bi,13
;,Courier,12,bi,13
<,Courier,12,bi,13
=,Courier,12,bi,13
>,Courier,12,bi,13
?,Courier,12,bi,13
@,Courier,12,bi,13
A,Courier,12,bi,13
B,Courier,12,bi,13
C,Courier,12,bi,13
D,Courier,12,bi,13
E,Courier,12,bi,13
F,Courier,12,bi,13
G,Courier,12,bi,13
H,Courier,12,bi,13
I,Courier,12,bi,13
J,Courier,12,bi,13
K,Courier,12,bi,13
L,Courier,12,bi,13
M,Courier,12,bi,13
N,Courier,12,bi,13
O,Courier,12,bi,13
P,Courier,12,bi,13
Q,Courier,12,bi,13
R,Courier,12,bi,13
S,Courier,12,bi,13
T,Courier,12,bi,13
U,Courier,12,bi,13
V,Courier,12,bi,13
W,Courier,12,bi,13
X,Courier,12,bi,13
Y,Courier,12,bi,13
Z,Courier,12,bi,13
[,Courier,12,bi,13
\,Courier,12,bi,13
],Courier,12,bi,13
^,Courier,12,bi,13
_,Courier,12,bi,13
`,Courier,12,bi,13
a,Courier,12,bi,13
b,Courier,12,bi,13
c,Courier,12,bi,13
d,Courier,12,bi,13
e,Courier,12,bi,13
f,Courier,12,bi,13
g,Courier,12,bi,13
h,Courier,12,bi,13
i,Courier,12,bi,13
j,Courier,12,bi,13
k,Courier,12,bi,13
l,Courier,12,bi,13
m,Courier,12,bi,13
n,Courier,12,bi,13
o,Courier,12,bi,13
p,Courier,12,bi,13
q,Courier,12,bi,13
r,Courier,12,bi,13
s,Courier,12,bi,13
t,Courier,12,bi,13
u,Courier,12,bi,13
v,Courier,12,bi,13
w,Courier,12,bi,13
x,Courier,12,bi,13
y,Courier,12,bi,13
z,Courier,12,bi,13
{,Courier,12,bi,13
|,Courier,12,bi,13
},Courier,12,bi,13
~,Courier,12,bi,13
 ,Courier,14,,12
!,Courier,14,,12
"""",Courier,14,,12
#,Courier,14,,12
$,Courier,14,,12
%,Courier,14,,12
&,Courier,14,,12
',Courier,14,,12
(,Courier,14,,12
),Courier,14,,12
*,Courier,14,,12
+,Courier,14,,12
",",Courier,14,,12
-,Courier,14,,12
.,Courier,14,,12
/,Courier,14,,12
0,Courier,14,,12
1,Courier,14,,12
2,Courier,14,,12
3,Courier,14,,12
4,Courier,14,,12
5,Courier,14,,12
6,Courier,14,,12
7,Courier,14,,12
8,Courier,14,,12
9,Courier,14,,12
