,lat,lon,elevation
0,-46.6795944656402,166.46484375,
1,-46.60335684312129,166.46484375,
2,-46.52711922060239,166.46484375,
3,-46.45088159808348,166.46484375,
4,-46.37464397556457,166.46484375,
5,-46.298406353045664,166.46484375,
6,-46.222168730526754,166.46484375,
7,-46.14593110800785,166.46484375,
8,-46.06969348548894,166.46484375,
9,-45.99345586297003,166.46484375,
10,-45.91721824045113,166.46484375,118.88729858398438
11,-45.84098061793222,166.46484375,
12,-45.76474299541331,166.46484375,
13,-45.688505372894404,166.46484375,
14,-45.612267750375494,166.46484375,
15,-45.536030127856584,166.46484375,
16,-45.45979250533768,166.46484375,
17,-45.38355488281877,166.46484375,
18,-45.30731726029987,166.46484375,
19,-45.23107963778096,166.46484375,
20,-45.15484201526205,166.46484375,
21,-45.078604392743145,166.46484375,
22,-45.002366770224235,166.46484375,
23,-44.926129147705325,166.46484375,
24,-44.84989152518642,166.46484375,
25,-44.77365390266751,166.46484375,
26,-44.6974162801486,166.46484375,
27,-44.6211786576297,166.46484375,
28,-44.54494103511079,166.46484375,
29,-44.468703412591886,166.46484375,
30,-44.392465790072976,166.46484375,
31,-44.316228167554065,166.46484375,
32,-44.23999054503516,166.46484375,
33,-44.16375292251625,166.46484375,
34,-44.08751529999734,166.46484375,
35,-44.01127767747844,166.46484375,
36,-43.93504005495953,166.46484375,
37,-43.85880243244062,166.46484375,
38,-43.782564809921716,166.46484375,
39,-43.706327187402806,166.46484375,
40,-43.6300895648839,166.46484375,
41,-43.55385194236499,166.46484375,
42,-43.47761431984608,166.46484375,
43,-43.40137669732718,166.46484375,
44,-43.32513907480827,166.46484375,
45,-43.24890145228936,166.46484375,
46,-43.17266382977046,166.46484375,
47,-43.09642620725155,166.46484375,
48,-43.02018858473264,166.46484375,
49,-42.943950962213734,166.46484375,
50,-42.867713339694824,166.46484375,
51,-42.79147571717591,166.46484375,
52,-42.71523809465701,166.46484375,
53,-42.6390004721381,166.46484375,
54,-42.5627628496192,166.46484375,
55,-42.48652522710029,166.46484375,
56,-42.41028760458138,166.46484375,
57,-42.334049982062474,166.46484375,
58,-42.257812359543564,166.46484375,
59,-42.181574737024654,166.46484375,
60,-42.10533711450575,166.46484375,
61,-42.02909949198684,166.46484375,
62,-41.95286186946794,166.46484375,
63,-41.87662424694903,166.46484375,
64,-41.80038662443012,166.46484375,
65,-41.724149001911215,166.46484375,
66,-41.647911379392305,166.46484375,
67,-41.571673756873395,166.46484375,
68,-41.49543613435449,166.46484375,
69,-41.41919851183558,166.46484375,
70,-41.34296088931667,166.46484375,
71,-41.26672326679777,166.46484375,
72,-41.19048564427886,166.46484375,
73,-41.11424802175995,166.46484375,
74,-41.038010399241045,166.46484375,
75,-40.961772776722135,166.46484375,
76,-40.88553515420323,166.46484375,
77,-40.80929753168432,166.46484375,
78,-40.73305990916541,166.46484375,
79,-40.65682228664651,166.46484375,
80,-40.5805846641276,166.46484375,
81,-46.6795944656402,166.5615234375,
82,-46.60335684312129,166.5615234375,
83,-46.52711922060239,166.5615234375,
84,-46.45088159808348,166.5615234375,
85,-46.37464397556457,166.5615234375,
86,-46.298406353045664,166.5615234375,
87,-46.222168730526754,166.5615234375,
88,-46.14593110800785,166.5615234375,
89,-46.06969348548894,166.5615234375,
90,-45.99345586297003,166.5615234375,102.72476959228516
91,-45.91721824045113,166.5615234375,
92,-45.84098061793222,166.5615234375,758.768310546875
93,-45.76474299541331,166.5615234375,
94,-45.688505372894404,166.5615234375,
95,-45.612267750375494,166.5615234375,
96,-45.536030127856584,166.5615234375,
97,-45.45979250533768,166.5615234375,
98,-45.38355488281877,166.5615234375,
99,-45.30731726029987,166.5615234375,
100,-45.23107963778096,166.5615234375,
101,-45.15484201526205,166.5615234375,
102,-45.078604392743145,166.5615234375,
103,-45.002366770224235,166.5615234375,
104,-44.926129147705325,166.5615234375,
105,-44.84989152518642,166.5615234375,
106,-44.77365390266751,166.5615234375,
107,-44.6974162801486,166.5615234375,
108,-44.6211786576297,166.5615234375,
109,-44.54494103511079,166.5615234375,
110,-44.468703412591886,166.5615234375,
111,-44.392465790072976,166.5615234375,
112,-44.316228167554065,166.5615234375,
113,-44.23999054503516,166.5615234375,
114,-44.16375292251625,166.5615234375,
115,-44.08751529999734,166.5615234375,
116,-44.01127767747844,166.5615234375,
117,-43.93504005495953,166.5615234375,
118,-43.85880243244062,166.5615234375,
119,-43.782564809921716,166.5615234375,
120,-43.706327187402806,166.5615234375,
121,-43.6300895648839,166.5615234375,
122,-43.55385194236499,166.5615234375,
123,-43.47761431984608,166.5615234375,
124,-43.40137669732718,166.5615234375,
125,-43.32513907480827,166.5615234375,
126,-43.24890145228936,166.5615234375,
127,-43.17266382977046,166.5615234375,
128,-43.09642620725155,166.5615234375,
129,-43.02018858473264,166.5615234375,
130,-42.943950962213734,166.5615234375,
131,-42.867713339694824,166.5615234375,
132,-42.79147571717591,166.5615234375,
133,-42.71523809465701,166.5615234375,
134,-42.6390004721381,166.5615234375,
135,-42.5627628496192,166.5615234375,
136,-42.48652522710029,166.5615234375,
137,-42.41028760458138,166.5615234375,
138,-42.334049982062474,166.5615234375,
139,-42.257812359543564,166.5615234375,
140,-42.181574737024654,166.5615234375,
141,-42.10533711450575,166.5615234375,
142,-42.02909949198684,166.5615234375,
143,-41.95286186946794,166.5615234375,
144,-41.87662424694903,166.5615234375,
145,-41.80038662443012,166.5615234375,
146,-41.724149001911215,166.5615234375,
147,-41.647911379392305,166.5615234375,
148,-41.571673756873395,166.5615234375,
149,-41.49543613435449,166.5615234375,
