,x,y,lon,lat,elevation
0,0,0,166.4208984375,-34.1436348203126,0.0
1,0,1,166.4208984375,-34.253160212549695,0.0
2,0,2,166.4208984375,-34.36268560478679,0.0
3,0,3,166.4208984375,-34.47221099702389,0.0
4,0,4,166.4208984375,-34.58173638926098,0.0
5,0,5,166.4208984375,-34.691261781498085,0.0
6,0,6,166.4208984375,-34.80078717373518,0.0
7,0,7,166.4208984375,-34.910312565972276,0.0
8,0,8,166.4208984375,-35.01983795820937,0.0
9,0,9,166.4208984375,-35.12936335044647,0.0
10,0,10,166.4208984375,-35.238888742683564,0.0
11,0,11,166.4208984375,-35.34841413492066,0.0
12,0,12,166.4208984375,-35.45793952715776,0.0
13,0,13,166.4208984375,-35.56746491939485,0.0
14,0,14,166.4208984375,-35.676990311631954,0.0
15,0,15,166.4208984375,-35.78651570386905,0.0
16,0,16,166.4208984375,-35.896041096106146,0.0
17,0,17,166.4208984375,-36.00556648834324,0.0
18,0,18,166.4208984375,-36.11509188058034,0.0
19,0,19,166.4208984375,-36.22461727281744,0.0
20,0,20,166.4208984375,-36.33414266505453,0.0
21,0,21,166.4208984375,-36.44366805729163,0.0
22,0,22,166.4208984375,-36.55319344952873,0.0
23,0,23,166.4208984375,-36.66271884176582,0.0
24,0,24,166.4208984375,-36.77224423400292,0.0
25,0,25,166.4208984375,-36.881769626240015,0.0
26,0,26,166.4208984375,-36.99129501847711,0.0
27,0,27,166.4208984375,-37.100820410714206,0.0
28,0,28,166.4208984375,-37.21034580295131,0.0
29,0,29,166.4208984375,-37.3198711951884,0.0
30,0,30,166.4208984375,-37.4293965874255,0.0
31,0,31,166.4208984375,-37.5389219796626,0.0
32,0,32,166.4208984375,-37.64844737189969,0.0
33,0,33,166.4208984375,-37.75797276413679,0.0
34,0,34,166.4208984375,-37.867498156373884,0.0
35,0,35,166.4208984375,-37.97702354861099,0.0
36,0,36,166.4208984375,-38.086548940848076,0.0
37,0,37,166.4208984375,-38.19607433308518,0.0
38,0,38,166.4208984375,-38.305599725322274,0.0
39,0,39,166.4208984375,-38.41512511755937,0.0
40,0,40,166.4208984375,-38.524650509796466,0.0
41,0,41,166.4208984375,-38.63417590203356,0.0
42,0,42,166.4208984375,-38.74370129427066,0.0
43,0,43,166.4208984375,-38.85322668650775,0.0
44,0,44,166.4208984375,-38.962752078744856,0.0
45,0,45,166.4208984375,-39.072277470981945,0.0
46,0,46,166.4208984375,-39.18180286321905,0.0
47,0,47,166.4208984375,-39.29132825545614,0.0
48,0,48,166.4208984375,-39.40085364769324,0.0
49,0,49,166.4208984375,-39.510379039930335,0.0
50,0,50,166.4208984375,-39.61990443216743,0.0
51,0,51,166.4208984375,-39.72942982440453,0.0
52,0,52,166.4208984375,-39.83895521664162,0.0
53,0,53,166.4208984375,-39.948480608878725,0.0
54,0,54,166.4208984375,-40.05800600111582,0.0
55,0,55,166.4208984375,-40.16753139335292,0.0
56,0,56,166.4208984375,-40.27705678559001,0.0
57,0,57,166.4208984375,-40.38658217782711,0.0
58,0,58,166.4208984375,-40.496107570064204,0.0
59,0,59,166.4208984375,-40.6056329623013,0.0
60,0,60,166.4208984375,-40.7151583545384,0.0
61,0,61,166.4208984375,-40.8246837467755,0.0
62,0,62,166.4208984375,-40.934209139012594,0.0
63,0,63,166.4208984375,-41.04373453124969,0.0
64,0,64,166.4208984375,-41.153259923486786,0.0
65,0,65,166.4208984375,-41.26278531572388,0.0
66,0,66,166.4208984375,-41.37231070796098,0.0
67,0,67,166.4208984375,-41.48183610019807,0.0
68,0,68,166.4208984375,-41.59136149243517,0.0
69,0,69,166.4208984375,-41.70088688467227,0.0
70,0,70,166.4208984375,-41.81041227690937,0.0
71,0,71,166.4208984375,-41.919937669146464,0.0
72,0,72,166.4208984375,-42.02946306138356,0.0
73,0,73,166.4208984375,-42.138988453620655,0.0
74,0,74,166.4208984375,-42.24851384585775,0.0
75,0,75,166.4208984375,-42.35803923809485,0.0
76,0,76,166.4208984375,-42.46756463033195,0.0
77,0,77,166.4208984375,-42.577090022569045,0.0
78,0,78,166.4208984375,-42.68661541480614,0.0
79,0,79,166.4208984375,-42.79614080704324,0.0
80,0,80,166.4208984375,-42.90566619928033,0.0
81,0,81,166.4208984375,-43.01519159151743,0.0
82,0,82,166.4208984375,-43.124716983754524,0.0
83,0,83,166.4208984375,-43.23424237599162,0.0
84,0,84,166.4208984375,-43.343767768228716,0.0
85,0,85,166.4208984375,-43.45329316046582,0.0
86,0,86,166.4208984375,-43.562818552702915,0.0
87,0,87,166.4208984375,-43.67234394494001,0.0
88,0,88,166.4208984375,-43.781869337177106,0.0
89,0,89,166.4208984375,-43.8913947294142,0.0
90,0,90,166.4208984375,-44.0009201216513,0.0
91,0,91,166.4208984375,-44.11044551388839,0.0
92,0,92,166.4208984375,-44.219970906125496,0.0
93,0,93,166.4208984375,-44.32949629836259,0.0
94,0,94,166.4208984375,-44.43902169059969,0.0
95,0,95,166.4208984375,-44.548547082836784,0.0
96,0,96,166.4208984375,-44.65807247507388,0.0
97,0,97,166.4208984375,-44.767597867310975,0.0
98,0,98,166.4208984375,-44.87712325954807,0.0
99,0,99,166.4208984375,-44.98664865178517,0.0
100,0,100,166.4208984375,-45.09617404402226,0.0
101,0,101,166.4208984375,-45.205699436259366,0.0
102,0,102,166.4208984375,-45.31522482849646,0.0
103,0,103,166.4208984375,-45.42475022073356,0.0
104,0,104,166.4208984375,-45.53427561297065,0.0
105,0,105,166.4208984375,-45.64380100520775,0.0
106,0,106,166.4208984375,-45.753326397444845,0.0
