hash;;author;;date;;message;;additions;;additions_kt;;additions_py;;deletions;;deletions_kt;;deletions_py
be6576d193e20ecfafc34d0dc64f07f3834b8722;;Artem Smirnov;;Wed Dec 4 16:57:50 2024 +0100;;Position adjustments composition (#1258);;1957;;91;;0;;28;;28;;0
60d7efd8066f2e46a827d13a807e70ca975938a5;;Ivan Kupriyanov;;Tue Dec 3 21:43:14 2024 +0100;;Fix #1254: Measure tooltips with an offscreen SVG component and build only the required tooltip objects. This not only fixes glitches in Batik but also improves performance.;;177;;175;;0;;133;;133;;0
115d6e83ede238f765e90903f981a080285c8a6d;;Artem Smirnov;;Tue Dec 3 12:33:19 2024 +0100;;Remove extra import from the PlotGeomTilesUtil.;;0;;0;;0;;1;;1;;0
1561a8f14654a770a66d34a80cb6d7ec56f43e32;;Ivan Kupriyanov;;Fri Nov 29 13:34:27 2024 +0100;;Minor refactoring;;18;;18;;0;;84;;84;;0
75a25fe70d45db1d86fcffa1dcbe31a9ad9487d3;;Ivan Kupriyanov;;Fri Nov 29 13:19:44 2024 +0100;;Add test;;84;;84;;0;;14;;14;;0
17a33a39f22352b058d5bd56174eba8367ae5cfa;;Ivan Kupriyanov;;Fri Nov 29 12:03:03 2024 +0100;;Update future_changes.md;;1;;0;;0;;1;;0;;0
b9c9e414a3413885ba8830f177e4ec2aa6319eb4;;Ivan Kupriyanov;;Thu Nov 28 21:49:32 2024 +0100;;Fix #1187 - Suboptimal tooltip positioning in facets;;67;;66;;0;;25;;25;;0
930a79450ae94f149799d5061aa9c314b8767805;;Ivan Kupriyanov;;Thu Nov 28 20:44:21 2024 +0100;;Fix #1194;;10;;7;;0;;3;;1;;0
d3c0b9e204cf1f056954415e9857317cf03f7458;;Ivan Kupriyanov;;Thu Nov 28 17:49:41 2024 +0100;;Update future_changes.md;;1;;0;;0;;0;;0;;0
a5ecb0396c5b08f72ea2aeef04852851b9613852;;Ivan Kupriyanov;;Thu Nov 28 17:48:31 2024 +0100;;Fix #1186 - Display integer values without fractional part in tooltips;;56;;54;;0;;13;;12;;0
2a28249172ff0195ca429ba1ec3c9f20c19f0a61;;Ivan Kupriyanov;;Thu Nov 28 16:00:08 2024 +0100;;Change the default format for floating-point numbers to `,~g` and `d` for integer numbers (#1255);;133;;133;;0;;97;;97;;0
dd96b2784ef51f967da7eae3e183890b48589ded;;Valentin Dovidaytis;;Wed Nov 27 11:30:25 2024 +0100;;Updated version v4.5.2.dev1;;2;;0;;1;;2;;0;;1
24bacb0c8f08295e6c09235d63084a4f27b1073f;;Valentin Dovidaytis;;Wed Nov 27 11:29:05 2024 +0100;;Updated version v4.5.2alpha2;;3;;0;;1;;3;;0;;1
360be6bcab5b3dc3a538359cc0e58f933dd48fa0;;Ivan Kupriyanov;;Tue Nov 26 21:40:38 2024 +0100;;Cleanup test;;0;;0;;0;;7;;7;;0
1a3c21b21bbdfa560b86d76c278a6536fa867e33;;Ivan Kupriyanov;;Tue Nov 26 21:37:51 2024 +0100;;NiceTick: generate positive and negative breaks from zero when the domain crosses zero;;42;;42;;0;;31;;31;;0
0219c3963f3520827b35de8333f7514762030dfb;;Valentin Dovidaytis;;Tue Nov 26 15:05:46 2024 +0100;;Set SNAPSHOT version;;1;;0;;0;;1;;0;;0
eeb0ce5d71e33c5d92e82cf3c2d6b1c4ab0ac3f1;;Valentin Dovidaytis;;Tue Nov 26 15:02:14 2024 +0100;;Dev release;;2;;0;;0;;2;;0;;0
7d0c81395045fb828687c93045aa91b4a8e450db;;Ivan Kupriyanov;;Tue Nov 26 12:35:58 2024 +0100;;Vega-Lite: better error reporting for unsupported plots;;30;;30;;0;;15;;15;;0
99521ad2fc1ddc63fe5b6fefa4b160f548bfc798;;Ivan Kupriyanov;;Mon Nov 25 16:56:29 2024 +0100;;Minor rename;;27;;11;;0;;27;;11;;0
a090c6fbf5b44f7d0b6d4127a76b24044e2b974b;;Igor Alshannikov;;Fri Nov 22 20:10:19 2024 -0500;;Fix handling empty specs override.;;7;;7;;0;;2;;2;;0
2a78b7086f1bdeb8e06a873615aa2aa94a4f0a76;;Igor Alshannikov;;Fri Nov 22 16:20:54 2024 -0500;;Replace "null-safe let" with if-else for JS dynamic object.;;5;;5;;0;;1;;1;;0
99932e73bbd1d9e6a8771682387180f09aff2357;;Ivan Kupriyanov;;Fri Nov 22 21:59:00 2024 +0100;;Fix #1251, major NumberFormat refactoring (#1253);;786;;786;;0;;809;;809;;0
1716016f56579438f667c464b7009e2bb5c983f5;;Igor Alshannikov;;Fri Nov 22 13:58:37 2024 -0500;;Support sizing policy update in figure model (js).;;25;;25;;0;;8;;8;;0
