hash;author;date;extension;additions;deletions
1a3c21b21bbdfa560b86d76c278a6536fa867e33;Ivan Kupriyanov;Tue Nov 26 21:37:51 2024 +0100;kt;42;31
0219c3963f3520827b35de8333f7514762030dfb;Valentin Dovidaytis;Tue Nov 26 15:05:46 2024 +0100;kts;1;1
eeb0ce5d71e33c5d92e82cf3c2d6b1c4ab0ac3f1;Valentin Dovidaytis;Tue Nov 26 15:02:14 2024 +0100;js;1;1
eeb0ce5d71e33c5d92e82cf3c2d6b1c4ab0ac3f1;Valentin Dovidaytis;Tue Nov 26 15:02:14 2024 +0100;kts;1;1
7d0c81395045fb828687c93045aa91b4a8e450db;Ivan Kupriyanov;Tue Nov 26 12:35:58 2024 +0100;kt;30;15
99521ad2fc1ddc63fe5b6fefa4b160f548bfc798;Ivan Kupriyanov;Mon Nov 25 16:56:29 2024 +0100;kt;11;11
a090c6fbf5b44f7d0b6d4127a76b24044e2b974b;Igor Alshannikov;Fri Nov 22 20:10:19 2024 -0500;kt;7;2
2a78b7086f1bdeb8e06a873615aa2aa94a4f0a76;Igor Alshannikov;Fri Nov 22 16:20:54 2024 -0500;kt;5;1
99932e73bbd1d9e6a8771682387180f09aff2357;Ivan Kupriyanov;Fri Nov 22 21:59:00 2024 +0100;kt;786;809
1716016f56579438f667c464b7009e2bb5c983f5;Igor Alshannikov;Fri Nov 22 13:58:37 2024 -0500;kt;25;8
7a446304ed0f72f8b46ea659424992529b8a11ef;Igor Alshannikov;Wed Nov 20 18:05:50 2024 -0500;kt;301;300
af1d68a45a873e03dbd3455b42025eded04b5995;Ivan Kupriyanov;Tue Nov 19 19:36:52 2024 +0100;kt;4;4
241ee55771a95ac69eba8494ce5e05fc1b327e5f;Valentin Dovidaytis;Tue Nov 19 15:51:05 2024 +0100;py;6;6
c0d2015a24882243305c16f3b08bd34fd07b2387;Ivan Kupriyanov;Mon Nov 18 22:03:10 2024 +0100;kt;70;43
e5b601e5c10568a7ebf4db06bff3e768070010c4;Artem Smirnov;Fri Nov 15 19:40:28 2024 +0100;kt;131;149
c90515b54a53a4054cc27aaba36575f673b90f83;Ivan Kupriyanov;Fri Nov 15 18:24:05 2024 +0100;kt;24;1
c90515b54a53a4054cc27aaba36575f673b90f83;Ivan Kupriyanov;Fri Nov 15 18:24:05 2024 +0100;md;2;1
883f4c596c1bba91b60c3f26c3374c9dd158ee1b;Ivan Kupriyanov;Fri Nov 15 18:23:01 2024 +0100;md;1;0
7baaba0cac7517384cca90ab96d2f43b53740da0;Ivan Kupriyanov;Fri Nov 15 15:30:44 2024 +0100;kt;1;1
28893540551a889fec0107f49b97c1117ddbebc5;Ivan Kupriyanov;Fri Nov 15 14:52:27 2024 +0100;md;2;1
be8d61d2d41f743a545ecfb984f622254457e383;Ivan Kupriyanov;Fri Nov 15 14:51:16 2024 +0100;kt;10;6
a10281e46c6ffc3dc0bc119f8ce3ec15cb2eb9a6;Ivan Kupriyanov;Fri Nov 15 14:06:32 2024 +0100;kt;22;1
f03ac14406d2f6600006206a0718765095da0e7e;Artem Smirnov;Thu Nov 14 13:22:10 2024 +0100;kt;5;7
b1b7450b950074bd3a02cde85664d56541d0e12a;Ivan Kupriyanov;Tue Nov 12 18:13:12 2024 +0100;kt;1;1
eb2e5255596b95ac201bc663f0db23f9eab76d1f;Ivan Kupriyanov;Tue Nov 12 17:47:41 2024 +0100;kt;1126;481
eb2e5255596b95ac201bc663f0db23f9eab76d1f;Ivan Kupriyanov;Tue Nov 12 17:47:41 2024 +0100;md;4;0
47f82e5c7f45743d407b37a7f4442b9f7e0dd69f;Igor Alshannikov;Mon Nov 4 16:34:23 2024 -0500;kt;4;13
6d95b8b7a61c87fed8f91ddc1c0f002bfcfbb3a0;Igor Alshannikov;Mon Nov 4 16:21:45 2024 -0500;kt;20;31
6d95b8b7a61c87fed8f91ddc1c0f002bfcfbb3a0;Igor Alshannikov;Mon Nov 4 16:21:45 2024 -0500;md;3;2
eed5a635c4fdcdd64536df34cad3197a7f73c2db;Ivan Kupriyanov;Tue Oct 29 18:21:53 2024 +0100;kt;151;121
cbb07b9b0d21760fe894b8c6552876d379050ca3;Ivan Kupriyanov;Mon Oct 28 15:06:09 2024 +0100;kt;488;177
cbb07b9b0d21760fe894b8c6552876d379050ca3;Ivan Kupriyanov;Mon Oct 28 15:06:09 2024 +0100;properties;1;1
c8db300544974ddd35a82a90072772b788600ac6;Igor Alshannikov;Fri Oct 25 14:39:39 2024 -0400;ipynb;9;20
c8db300544974ddd35a82a90072772b788600ac6;Igor Alshannikov;Fri Oct 25 14:39:39 2024 -0400;yml;1;1
889df6754b7fef2f3d030be5957ad64db26520f1;Valentin Dovidaytis;Fri Oct 25 17:28:07 2024 +0200;kts;1;1
889df6754b7fef2f3d030be5957ad64db26520f1;Valentin Dovidaytis;Fri Oct 25 17:28:07 2024 +0200;py;1;1
55105aaf81cb6f30c7612714110023aa4a8b6c71;Valentin Dovidaytis;Fri Oct 25 17:25:38 2024 +0200;md;16;9
55105aaf81cb6f30c7612714110023aa4a8b6c71;Valentin Dovidaytis;Fri Oct 25 17:25:38 2024 +0200;js;1;1
55105aaf81cb6f30c7612714110023aa4a8b6c71;Valentin Dovidaytis;Fri Oct 25 17:25:38 2024 +0200;kts;1;1
55105aaf81cb6f30c7612714110023aa4a8b6c71;Valentin Dovidaytis;Fri Oct 25 17:25:38 2024 +0200;py;1;1
03243ec051792e03d5453656d640f80e22bb3fc4;Igor Alshannikov;Thu Oct 24 17:49:00 2024 -0400;md;5;1
193507eaca66f77362c32fd2aef839f461f5a715;Igor Alshannikov;Thu Oct 24 17:44:27 2024 -0400;kt;3;1
4e334082ddd311dbd8319bd31956158b1a9da8a7;Igor Alshannikov;Thu Oct 24 17:21:40 2024 -0400;kt;22;2
de9dd0b58e2f8d2b65ab1a9c0c5c236684b5932f;Igor Alshannikov;Thu Oct 24 16:36:10 2024 -0400;kt;52;28
70989b66b2986eb5677898321c48d45cb762dc83;Igor Alshannikov;Wed Oct 23 20:13:22 2024 -0400;ipynb;208;40
70989b66b2986eb5677898321c48d45cb762dc83;Igor Alshannikov;Wed Oct 23 20:13:22 2024 -0400;kt;5;2
862a92deff9790c733847c64a23027cee5a32016;Igor Alshannikov;Wed Oct 23 19:37:08 2024 -0400;kt;8;5
9877d7da13feec1d69fccdc18ec52a67845884de;Ivan Kupriyanov;Thu Oct 24 00:19:16 2024 +0200;kt;48;1
e38749a995d2fc92d936d6c836eceef831de897a;Ivan Kupriyanov;Thu Oct 24 00:15:51 2024 +0200;kt;185;10
89262ea71b3afa87bd4d93fc826fe49dc524f80a;Ivan Kupriyanov;Wed Oct 23 22:04:34 2024 +0200;kt;70;34
89262ea71b3afa87bd4d93fc826fe49dc524f80a;Ivan Kupriyanov;Wed Oct 23 22:04:34 2024 +0200;md;4;0
95c7a016096e192f66effafd903d1f9716d4e42b;Igor Alshannikov;Wed Oct 23 13:10:14 2024 -0400;yml;1;1
5aa78f977f4473d9ed6caab0b26a2e363546e494;Igor Alshannikov;Wed Oct 23 13:08:03 2024 -0400;ipynb;1199;333
5aa78f977f4473d9ed6caab0b26a2e363546e494;Igor Alshannikov;Wed Oct 23 13:08:03 2024 -0400;yml;2;2
8e362a0175fdbfeaa212588532f2ed983df9d5c0;Valentin Dovidaytis;Wed Oct 23 17:24:44 2024 +0200;kts;1;1
8e362a0175fdbfeaa212588532f2ed983df9d5c0;Valentin Dovidaytis;Wed Oct 23 17:24:44 2024 +0200;py;1;1
fed606ae898a3f2a3b0649dbdaf943504265eff5;Valentin Dovidaytis;Wed Oct 23 17:22:18 2024 +0200;md;97;89
fed606ae898a3f2a3b0649dbdaf943504265eff5;Valentin Dovidaytis;Wed Oct 23 17:22:18 2024 +0200;js;1;1
fed606ae898a3f2a3b0649dbdaf943504265eff5;Valentin Dovidaytis;Wed Oct 23 17:22:18 2024 +0200;kts;1;1
fed606ae898a3f2a3b0649dbdaf943504265eff5;Valentin Dovidaytis;Wed Oct 23 17:22:18 2024 +0200;py;1;1
f7c09baa81905644be8bcafa793b3afd11150183;Valentin Dovidaytis;Wed Oct 23 17:11:45 2024 +0200;md;32;17
11d456f9bd6b205e7dea7510c8d0f9fbb23f6621;Artem Smirnov;Wed Oct 23 14:30:18 2024 +0200;py;6;3
7e47ab9f99e19e0029c5ddfb08e892f74838cd2c;Artem Smirnov;Wed Oct 23 14:12:14 2024 +0200;py;1;1
1bc887904c2b792b5830bcf54a46d66688acfd41;Artem Smirnov;Tue Oct 22 19:58:18 2024 +0200;py;32;7
08dce48e10bee2d34834b484bf3b655fece0ce49;Igor Alshannikov;Tue Oct 22 13:13:20 2024 -0400;md;4;4
f042d9100bd40eeb6a5d58a325b53acde8925490;Igor Alshannikov;Tue Oct 22 13:06:59 2024 -0400;md;2;0
45155b739d11cc2d1a859169bf19d321d6059fb1;Artem Smirnov;Tue Oct 22 17:38:58 2024 +0200;kt;1;0
f3b6ee7dca9340bf3e8cfc40cc0f180dc004a561;Artem Smirnov;Tue Oct 22 17:41:52 2024 +0200;py;465;229
f3b6ee7dca9340bf3e8cfc40cc0f180dc004a561;Artem Smirnov;Tue Oct 22 17:41:52 2024 +0200;ipynb;70;44
