file_path,file_name,extension,additions,deletions
docs/dev/notebooks/coord_polar_wind.csv,coord_polar_wind.csv,csv,1147261.0,0.0
docs/dev/notebooks/interactive_tools.ipynb,interactive_tools.ipynb,ipynb,28830.0,724.0
docs/dev/notebooks/waterfall.ipynb,waterfall.ipynb,ipynb,22593.0,6894.0
docs/dev/notebooks/coord_polar.ipynb,coord_polar.ipynb,ipynb,17072.0,11793.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/data/SeattleWeather.kt,SeattleWeather.kt,kt,11701.0,0.0
docs/f-24g/scientific_notation_table.ipynb,scientific_notation_table.ipynb,ipynb,7672.0,0.0
docs/dev/notebooks/LP-1074.ipynb,LP-1074.ipynb,ipynb,4602.0,0.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/Cars.kt,Cars.kt,kt,4480.0,0.0
docs/dev/notebooks/geom_curve.ipynb,geom_curve.ipynb,ipynb,3617.0,286.0
docs/dev/notebooks/auto_orientation_discretes.ipynb,auto_orientation_discretes.ipynb,ipynb,3414.0,0.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/Penguins.kt,Penguins.kt,kt,3107.0,0.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/data/Stocks.kt,Stocks.kt,kt,2813.0,0.0
docs/f-24e/waterfall_plot.ipynb,waterfall_plot.ipynb,ipynb,2751.0,943.0
docs/dev/notebooks/legend_override_aes.ipynb,legend_override_aes.ipynb,ipynb,2106.0,0.0
docs/dev/notebooks/bar_annotations_contrast_adj.ipynb,bar_annotations_contrast_adj.ipynb,ipynb,2070.0,15.0
docs/dev/notebooks/custom_legend.ipynb,custom_legend.ipynb,ipynb,1937.0,273.0
docs/dev/notebooks/band.ipynb,band.ipynb,ipynb,1908.0,76.0
docs/dev/notebooks/positioning.ipynb,positioning.ipynb,ipynb,1865.0,0.0
python-package/lets_plot/plot/geom.py,geom.py,py,1818.0,650.0
docs/f-24e/manual_legend.ipynb,manual_legend.ipynb,ipynb,1632.0,470.0
docs/dev/notebooks/regression_as_discrete.ipynb,regression_as_discrete.ipynb,ipynb,1612.0,0.0
docs/dev/notebooks/geom_segment.ipynb,geom_segment.ipynb,ipynb,1584.0,0.0
docs/dev/notebooks/issue845.ipynb,issue845.ipynb,ipynb,1574.0,0.0
docs/f-24a/geom_curve.ipynb,geom_curve.ipynb,ipynb,1541.0,841.0
docs/f-24a/coord_polar.ipynb,coord_polar.ipynb,ipynb,1433.0,344.0
docs/f-24g/superscript_exponent.ipynb,superscript_exponent.ipynb,ipynb,1428.0,50.0
docs/f-24g/theme_legend_margins.ipynb,theme_legend_margins.ipynb,ipynb,1269.0,86.0
plot-stem/src/jvmTest/kotlin/org/jetbrains/letsPlot/core/spec/back/transform/bistro/waterfall/OptionsBuilderTest.kt,OptionsBuilderTest.kt,kt,1106.0,162.0
docs/f-24g/theme_legend_key.ipynb,theme_legend_key.ipynb,ipynb,1090.0,85.0
docs/f-24g/qq_plot_marginal.ipynb,qq_plot_marginal.ipynb,ipynb,1089.0,139.0
docs/f-24g/expand_limits.ipynb,expand_limits.ipynb,ipynb,1037.0,57.0
docs/dev/notebooks/geom_curve_to_annotate.ipynb,geom_curve_to_annotate.ipynb,ipynb,1025.0,83.0
docs/f-24b/auto_rotate.ipynb,auto_rotate.ipynb,ipynb,935.0,23.0
docs/f-24g/latex_support.ipynb,latex_support.ipynb,ipynb,932.0,39.0
docs/dev/notebooks/auto_orientation_discretes_with_user_input.ipynb,auto_orientation_discretes_with_user_input.ipynb,ipynb,888.0,0.0
docs/f-24a/graph_edges.ipynb,graph_edges.ipynb,ipynb,860.0,0.0
docs/dev/notebooks/set_multiple_themes.ipynb,set_multiple_themes.ipynb,ipynb,855.0,0.0
docs/f-24b/facet_multiline_titles.ipynb,facet_multiline_titles.ipynb,ipynb,844.0,27.0
plot-stem/src/jvmTest/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/BarMarkTransformTest.kt,BarMarkTransformTest.kt,kt,840.0,217.0
docs/dev/notebooks/LP-1086.ipynb,LP-1086.ipynb,ipynb,831.0,0.0
docs/dev/notebooks/crossBar_middle_LPK_233.ipynb,crossBar_middle_LPK_233.ipynb,ipynb,811.0,41.0
docs/dev/notebooks/crossbar_tooltip.ipynb,crossbar_tooltip.ipynb,ipynb,799.0,0.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/back/transform/bistro/waterfall/WaterfallPlotOptionsBuilder.kt,WaterfallPlotOptionsBuilder.kt,kt,738.0,304.0
docs/dev/notebooks/geom_text.ipynb,geom_text.ipynb,ipynb,732.0,53.0
docs/f-24g/check_overlap.ipynb,check_overlap.ipynb,ipynb,725.0,36.0
docs/f-24g/linetype_custom.ipynb,linetype_custom.ipynb,ipynb,688.0,39.0
plot-builder/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/builder/frame/SquareFrameOfReference.kt,SquareFrameOfReference.kt,kt,662.0,604.0
plot-builder/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/builder/frame/PolarFrameOfReference.kt,PolarFrameOfReference.kt,kt,660.0,437.0
docs/dev/notebooks/param_check_overlap.ipynb,param_check_overlap.ipynb,ipynb,660.0,0.0
docs/f-24b/param_size_unit.ipynb,param_size_unit.ipynb,ipynb,658.0,29.0
docs/dev/notebooks/scientific_notation.ipynb,scientific_notation.ipynb,ipynb,646.0,40.0
docs/dev/notebooks/theme_panel_padding.ipynb,theme_panel_padding.ipynb,ipynb,643.0,185.0
docs/dev/notebooks/save_svg_html_as_text.ipynb,save_svg_html_as_text.ipynb,ipynb,643.0,0.0
docs/dev/notebooks/parallel_coord_plot.ipynb,parallel_coord_plot.ipynb,ipynb,627.0,267.0
docs/f-24g/interactive_links.ipynb,interactive_links.ipynb,ipynb,618.0,185.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/back/transform/bistro/waterfall/WaterfallUtil.kt,WaterfallUtil.kt,kt,600.0,309.0
docs/dev/notebooks/rotate_points.ipynb,rotate_points.ipynb,ipynb,597.0,0.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/data/Population.kt,Population.kt,kt,581.0,0.0
docs/f-24a/theme_panel_inset.ipynb,theme_panel_inset.ipynb,ipynb,577.0,224.0
docs/f-24g/theme_facet_strip_xy.ipynb,theme_facet_strip_xy.ipynb,ipynb,570.0,36.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/VegaPlotConverter.kt,VegaPlotConverter.kt,kt,566.0,293.0
plot-builder/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/builder/PolarAxisUtil.kt,PolarAxisUtil.kt,kt,560.0,355.0
docs/f-24f/new_stat_bin_vars.ipynb,new_stat_bin_vars.ipynb,ipynb,549.0,0.0
docs/f-24g/waterfall_plot_base.ipynb,waterfall_plot_base.ipynb,ipynb,547.0,26.0
docs/dev/notebooks/latex.ipynb,latex.ipynb,ipynb,541.0,18.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/Util.kt,Util.kt,kt,525.0,261.0
docs/f-24b/param_dpi.ipynb,param_dpi.ipynb,ipynb,524.0,115.0
docs/f-24g/interact_pan_zoom.ipynb,interact_pan_zoom.ipynb,ipynb,519.0,39.0
docs/f-24c/return_as_text.ipynb,return_as_text.ipynb,ipynb,512.0,0.0
plot-base/src/commonMain/kotlin/org/jetbrains/letsPlot/core/interact/DrawRectFeedback.kt,DrawRectFeedback.kt,kt,508.0,355.0
future_changes.md,future_changes.md,md,505.0,505.0
plot-base/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/base/geom/util/LinesHelper.kt,LinesHelper.kt,kt,500.0,349.0
plot-stem/src/jvmTest/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/StatTransformTest.kt,StatTransformTest.kt,kt,480.0,2.0
docs/dev/notebooks/histogram_threshold.ipynb,histogram_threshold.ipynb,ipynb,475.0,0.0
plot-base/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/base/geom/CurveGeom.kt,CurveGeom.kt,kt,470.0,395.0
docs/dev/notebooks/wind_rose.ipynb,wind_rose.ipynb,ipynb,470.0,11.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/spec/front/tiles/PlotTilesConfig.kt,PlotTilesConfig.kt,kt,467.0,110.0
docs/f-24e/theme_plot_title_position.ipynb,theme_plot_title_position.ipynb,ipynb,464.0,12.0
docs/f-24e/legend_override_aes.ipynb,legend_override_aes.ipynb,ipynb,441.0,20.0
docs/dev/notebooks/issue_626.ipynb,issue_626.ipynb,ipynb,440.0,0.0
plot-builder/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/builder/interact/PlotToolEventDispatcher.kt,PlotToolEventDispatcher.kt,kt,431.0,183.0
plot-stem/src/jvmTest/kotlin/org/jetbrains/letsPlot/core/spec/vegalite/DataTransformTest.kt,DataTransformTest.kt,kt,430.0,66.0
demo/plot-common/src/commonMain/kotlin/demo/plot/common/model/plotConfig/CoordPolarPlotSpecs.kt,CoordPolarPlotSpecs.kt,kt,426.0,1.0
platf-w3c/src/jsTest/kotlin/org/jetbrains/letsPlot/core/platf/dom/DomMouseEventMapperTest.kt,DomMouseEventMapperTest.kt,kt,419.0,73.0
demo/plot-common/src/commonMain/kotlin/demo/plot/common/model/plotConfig/LinkLabel.kt,LinkLabel.kt,kt,413.0,44.0
plot-base/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/base/geom/util/GeomHelper.kt,GeomHelper.kt,kt,411.0,213.0
plot-base/src/jvmTest/kotlin/org/jetbrains/letsPlot/core/commons/geometry/VisvalingamWhyattSimplificationTest.kt,VisvalingamWhyattSimplificationTest.kt,kt,411.0,4.0
plot-builder/src/jvmTest/kotlin/org/jetbrains/letsPlot/core/plot/builder/sampling/method/VertexSamplingTest.kt,VertexSamplingTest.kt,kt,396.0,99.0
docs/f-24b/parameter_dpi.ipynb,parameter_dpi.ipynb,ipynb,385.0,385.0
docs/dev/notebooks/radar_plot.ipynb,radar_plot.ipynb,ipynb,384.0,0.0
docs/f-24e/geom_histogram_threshold.ipynb,geom_histogram_threshold.ipynb,ipynb,374.0,79.0
build.gradle.kts,build.gradle.kts,kts,374.0,37.0
docs/f-24b/theme_plot_inset.ipynb,theme_plot_inset.ipynb,ipynb,366.0,24.0
docs/f-24b/theme_linetype.ipynb,theme_linetype.ipynb,ipynb,364.0,12.0
commons/src/commonTest/kotlin/org/jetbrains/letsPlot/commons/formatting/number/NumberFormatTypeGTest.kt,NumberFormatTypeGTest.kt,kt,363.0,33.0
CHANGELOG.md,CHANGELOG.md,md,363.0,4.0
plot-builder/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/builder/PlotTile.kt,PlotTile.kt,kt,356.0,261.0
js-package/src/jsMain/kotlin/MonolithicJs.kt,MonolithicJs.kt,kt,351.0,219.0
docs/f-24e/legend_title.ipynb,legend_title.ipynb,ipynb,347.0,15.0
plot-stem/src/commonMain/kotlin/org/jetbrains/letsPlot/core/util/PlotHtmlHelper.kt,PlotHtmlHelper.kt,kt,344.0,174.0
docs/f-24e/geom_band.ipynb,geom_band.ipynb,ipynb,338.0,29.0
plot-builder/src/jvmTest/kotlin/org/jetbrains/letsPlot/core/plot/builder/frame/SquareFrameOfReferenceGridTest.kt,SquareFrameOfReferenceGridTest.kt,kt,337.0,62.0
plot-base/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/base/scale/ScaleBreaks.kt,ScaleBreaks.kt,kt,333.0,57.0
plot-base/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/base/render/svg/LatexTerm.kt,LatexTerm.kt,kt,330.0,1.0
plot-builder/src/commonMain/kotlin/org/jetbrains/letsPlot/core/plot/builder/frame/PolarFrameOfReferenceProvider.kt,PolarFrameOfReferenceProvider.kt,kt,315.0,201.0
python-package/lets_plot/bistro/waterfall.py,waterfall.py,py,314.0,62.0
