platform,model,font_family,m_coeff,a_coeff,error_mean,error_std
Batik,original,Arial,0.71,0.55,0.005,14.557
Batik,original,Calibri,0.66,-1.17,0.003,12.488
Batik,clustering mean,Arial,0.97,0.02,-0.012,5.71
Batik,clustering mean,Calibri,0.98,0.02,-0.028,7.501
Batik,clustering old,Arial,1.01,1.01,-0.009,2.396
Batik,clustering old,Calibri,1.03,-0.03,0.096,4.422
Batik,clustering best,Arial,0.98,-0.01,0.007,2.606
Batik,clustering best,Calibri,0.99,0,0.003,4.146
Jfx,original,Arial,0.71,0.55,0.005,14.557
Jfx,original,Calibri,0.66,-1.17,0.003,12.488
Jfx,clustering mean,Arial,0.97,0.02,-0.012,5.71
Jfx,clustering mean,Calibri,0.98,0.02,-0.028,7.501
Jfx,clustering old,Arial,1.01,1.01,-0.009,2.396
Jfx,clustering old,Calibri,1.03,-0.03,0.096,4.422
Jfx,clustering best,Arial,0.98,-0.01,0.007,2.606
Jfx,clustering best,Calibri,0.99,0,0.003,4.146
Web,original,Arial,0.71,0.24,0.003,14.243
Web,original,Calibri,0.65,0.58,-0.002,12.654
Web,clustering mean,Arial,0.97,0,-0.095,6.179
Web,clustering mean,Calibri,0.98,-0.02,-0.091,7.434
Web,clustering old,Arial,1.01,-0.01,-0.092,2.789
Web,clustering old,Calibri,1.02,0.01,0.019,4.242
Web,clustering best,Arial,0.98,-0.03,-0.076,2.894
Web,clustering best,Calibri,0.99,-0.04,-0.059,4.044
